loc,var,rend
1,1,43.6
2,1,40.4
3,1,18.08
4,1,19.57
5,1,45.2
6,1,25.87
7,1,55.2
8,1,55.32
9,1,19.79
10,1,46.24
11,1,14.88
12,1,7.52
13,1,41.17
1,2,24.05
2,2,21.76
3,2,14.19
4,2,18.61
5,2,29.33
6,2,25.6
7,2,38.77
8,2,34.19
9,2,21.65
10,2,31.52
11,2,15.68
12,2,4.69
13,2,32.59
1,3,19.47
2,3,16.61
3,3,16.6
4,3,17.78
5,3,20.19
6,3,23.31
7,3,21.15
8,3,18.56
9,3,23.31
10,3,22.48
11,3,19.79
12,3,20.53
13,3,29.25
1,4,19.41
2,4,23.84
3,4,16.08
4,4,18.29
5,4,30.08
6,4,27.04
7,4,39.95
8,4,25.12
9,4,22.45
10,4,29.28
11,4,22.56
12,4,22.08
13,4,43.95
