blq,trt,larvas
1,Control_1,33
1,Control_1,59
2,Control_1,36
2,Control_1,24
3,Control_1,19
3,Control_1,27
4,Control_1,71
4,Control_1,49
5,Control_1,22
5,Control_1,27
6,Control_1,84
6,Control_1,50
1,Control_2,30
1,Control_2,36
2,Control_2,23
2,Control_2,23
3,Control_2,42
3,Control_2,39
4,Control_2,39
4,Control_2,20
5,Control_2,42
5,Control_2,22
6,Control_2,23
6,Control_2,37
1,Emulsion_1,8
1,Emulsion_1,11
2,Emulsion_1,15
2,Emulsion_1,20
3,Emulsion_1,10
3,Emulsion_1,7
4,Emulsion_1,17
4,Emulsion_1,26
5,Emulsion_1,14
5,Emulsion_1,11
6,Emulsion_1,22
6,Emulsion_1,30
1,Emulsion_2,12
1,Emulsion_2,17
2,Emulsion_2,6
2,Emulsion_2,4
3,Emulsion_2,12
3,Emulsion_2,10
4,Emulsion_2,5
4,Emulsion_2,8
5,Emulsion_2,12
5,Emulsion_2,12
6,Emulsion_2,16
6,Emulsion_2,4
1,Emulsion_3,6
1,Emulsion_3,10
2,Emulsion_3,4
2,Emulsion_3,7
3,Emulsion_3,4
3,Emulsion_3,12
4,Emulsion_3,5
4,Emulsion_3,5
5,Emulsion_3,2
5,Emulsion_3,6
6,Emulsion_3,17
6,Emulsion_3,11
1,Emulsion_4,17
1,Emulsion_4,8
2,Emulsion_4,3
2,Emulsion_4,2
3,Emulsion_4,6
3,Emulsion_4,3
4,Emulsion_4,1
4,Emulsion_4,1
5,Emulsion_4,2
5,Emulsion_4,5
6,Emulsion_4,6
6,Emulsion_4,5
